country,rate
Aruba,25
Afghanistan,20
Angola,30
Anguilla,0
Aland Islands,20
Albania,15
Andorra,10
United Arab Emirates,0
Argentina,30
Armenia,18
American Samoa,34
Antigua and Barbuda,25
Australia,30
Austria,25
Azerbaijan,20
Burundi,30
Belgium,25
Benin,30
"Bonaire, Sint Eustatius and Saba",25
Burkina Faso,28
Bangladesh,25
Bulgaria,10
Bahrain,0
Bahamas,0
Bosnia and Herzegovina,10
Saint Barthelemy,0
Belarus,18
Belize,25
Bermuda,0
Bolivia (Plurinational State of),25
Brazil,34
Barbados,5.5
Brunei Darussalam,18.5
Bhutan,30
Botswana,22
Central African Republic,30
Canada,26.47
Switzerland,21.148581
Chile,25
China,25
Cote d'Ivoire,25
Cameroon,33
Democratic Republic of the Congo,35
Congo,30
Cook Islands,20
Colombia,32
Comoros,50
Cabo Verde,22
Costa Rica,30
Curacao,22
Cayman Islands,0
Cyprus,12.5
Czechia,19
Germany,29.897059
Djibouti,25
Dominica,25
Denmark,22
Dominican Republic,27
Algeria,26
Ecuador,25
Egypt,22.5
Eritrea,30
Spain,25
Estonia,20
Ethiopia,30
Finland,20
Fiji,20
Falkland Islands (Malvinas),26
France,32.02
Faroe Islands,18
Micronesia (Federated States of),30
Gabon,30
United Kingdom of Great Britain and Northern Ireland,19
Georgia,15
Guernsey,0
Ghana,25
Gibraltar,10
Guinea,35
Gambia,31
Guinea-Bissau,25
Equatorial Guinea,35
Greece,24
Grenada,28
Greenland,26.5
Guatemala,25
Guam,21
Guyana,25
"China, Hong Kong Special Administrative Region",16.5
Honduras,25
Croatia,18
Haiti,30
Hungary,9
Indonesia,25
Isle of Man,0
India,30
Ireland,12.5
Iran (Islamic Republic of),25
Iraq,15
Iceland,20
Israel,23
Italy,27.81
Jamaica,25
Jersey,0
Jordan,20
Japan,29.74
Kazakhstan,20
Kenya,30
Kyrgyzstan,10
Cambodia,20
Kiribati,35
Saint Kitts and Nevis,33
Republic of Korea,27.5
Kuwait,15
Lao People's Democratic Republic,24
Lebanon,17
Liberia,25
Libya,20
Saint Lucia,30
Liechtenstein,12.5
Sri Lanka,28
Lesotho,25
Lithuania,15
Luxembourg,24.94
Latvia,20
"China, Macao Special Administrative Region",12
Saint Martin (French Part),35
Morocco,31
Monaco,28
Republic of Moldova,12
Madagascar,20
Maldives,15
Mexico,30
The former Yugoslav Republic of Macedonia,10
Mali,30
Malta,35
Myanmar,25
Montenegro,9
Mongolia,25
Northern Mariana Islands,21
Mozambique,32
Mauritania,25
Montserrat,30
Mauritius,15
Malawi,30
Malaysia,24
Namibia,32
New Caledonia,30
Niger,30
Nigeria,30
Nicaragua,30
Niue,30
Netherlands,25
Norway,22
Nepal,25
Nauru,25
New Zealand,28
Oman,15
Pakistan,29
Panama,25
Peru,29.5
Philippines,30
Papua New Guinea,30
Poland,19
Puerto Rico,37.5
Portugal,31.5
Paraguay,10
State of Palestine,15
French Polynesia,25
Qatar,10
Romania,16
Russian Federation,20
Rwanda,30
Saudi Arabia,20
Sudan,35
Senegal,30
Singapore,17
Saint Helena,25
Solomon Islands,30
Sierra Leone,30
El Salvador,30
San Marino,17
Serbia,15
South Sudan,25
Sao Tome and Principe,25
Suriname,36
Slovakia,21
Slovenia,19
Sweden,21.4
Swaziland,27.5
Sint Maarten (Dutch part),35
Seychelles,33
Syrian Arab Republic,28
Turks and Caicos Islands,0
Chad,35
Togo,27
Thailand,20
Tajikistan,23
Tokelau,0
Turkmenistan,8
Timor-Leste,10
Tonga,25
Trinidad and Tobago,30
Tunisia,25
Turkey,22
Taiwan,20
United Republic of Tanzania,30
Uganda,30
Ukraine,18
Uruguay,25
United States of America,25.766571
Uzbekistan,7.5
Saint Vincent and the Grenadines,30
Venezuela (Bolivarian Republic of),34
British Virgin Islands,0
United States Virgin Islands,23.1
Viet Nam,20
Vanuatu,0
Wallis and Futuna Islands,0
Samoa,27
"Kosovo, Republic of",10
Yemen,20
South Africa,28
Zambia,35
Zimbabwe,24.72